Predicted; Actual
33.3547;34.8000
24.1219;29.5000
26.7866;19.9000
33.3036;29.1000
23.5647;21.9000
33.0133;32.3000
22.3832;31.8000
33.5310;49.8000
22.0442;23.4000
35.0091;36.4000
24.5970;42.4000
33.5670;30.8000
23.9976;28.8000
22.3445;24.6000
25.0108;24.8000
33.5335;24.3000
22.3372;37.1000
33.3824;28.8000
23.2243;28.2000
29.8800;27.9000
28.3425;33.0000
24.3709;35.5000
32.4470;37.2000
24.7477;13.4000
34.8485;22.2000
34.6211;46.0000
34.5648;33.9000
34.2252;35.4000
34.6277;31.4000
34.3826;37.9000
29.1990;34.9000
34.4245;29.4000
36.6902;36.1000
36.5567;45.6000
34.8984;44.9000
33.8125;40.7000
33.3641;43.4000
36.3266;40.6000
22.1531;29.9000
21.4982;30.2000
20.4098;23.5000
22.4547;28.0000
22.8076;23.4000
32.9956;29.7000
23.1112;17.2000
23.2524;23.0000
23.3495;26.5000
24.5551;23.4000
31.8745;29.2000
22.3965;31.6000
22.5788;26.3000
26.6425;32.6000
32.4417;28.9000
24.4689;18.4000
26.1537;23.2000
30.1868;37.5000
19.9174;24.3000
32.7957;33.4000
32.4156;32.0000
23.3408;10.0000
32.9784;36.2000
31.2196;34.3000
43.2823;39.7000
23.8101;24.5000
29.5063;27.4000
31.3745;32.7000
26.5512;26.2000
23.2700;20.4000
23.0619;24.6000
34.7873;34.5000
27.0709;31.6000
24.3012;20.8000
34.0022;32.8000
25.6214;26.1000
27.2195;24.4000
34.7239;28.5000
27.8062;30.2000
29.6293;30.1000
28.8883;25.0000
32.7357;27.7000
28.2267;31.6000
30.3124;32.0000
31.5397;38.4000
33.7156;36.6000
30.2954;28.4000
29.7165;20.3000
31.9237;42.5000
30.6710;29.7000
33.1014;38.7000
33.3728;24.9000
33.8323;36.1000
33.8543;40.8000
34.0096;29.6000
34.8269;24.7000
33.9219;32.6000
34.0866;42.6000
34.6913;33.5000
34.4312;38.8000
34.0986;53.8000
32.3997;28.6000
35.0219;31.6000
34.2568;20.1000
34.3817;37.7000
34.0457;44.9000
32.9901;41.4000
33.0469;28.7000
33.4998;31.4000
30.6774;36.2000
32.2886;39.0000
33.8882;37.3000
