type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
3,24,110,2,2,41,0,43.6
3,27,156,2,4,47,0,21.7
3,23,250,2,3,47,0,41.7
3,24,103,2,1,47,0,33.6
3,27,89,2,1,47,0,34.3
3,27,238,2,2,47,0,40.7
3,25,288,2,2,47,0,29.8
3,27,147,2,2,47,0,25.5
3,25,220,2,1,47,0,31.6
3,30,127,2,1,47,0,23.6
3,23,398,2,4,47,0,35.3
3,26,264,2,1,47,0,21.1
3,27,236,2,5,47,0,26.3
3,26,286,2,6,47,0,30.6
3,25,277,2,1,47,0,33.8
3,26,46,2,0,47,0,22.7
3,28,102,2,1,47,0,31.6
3,23,68,2,0,40,0,10
3,26,274,2,1,46,0,12.1
3,23,270,2,1,46,0,27.7
3,23,308,2,2,46,0,37.6
3,23,218,2,1,46,0,33.4
3,25,310,1,1,35,1,24.9
3,26,218,1,2,33,1,25.5
3,26,179,1,4,32,1,23.6
3,23,218,1,1,31,1,27.5
3,22,186,1,3,28,1,28
3,22,154,1,2,27,1,26.8
3,27,494,1,6,45,1,24.4
3,23,203,1,4,30,1,23.9
3,22,202,1,1,29,1,25.1
3,24,197,1,1,30,1,25.1
3,25,152,1,1,30,1,25.9
3,24,247,1,1,32,1,31.8
3,22,228,1,2,30,1,28.7
3,26,186,1,1,32,1,32
3,27,140,1,1,31,1,29.3
3,26,186,1,4,32,1,32.1
3,27,183,1,1,33,1,28.1
3,24,212,1,3,31,1,22.5
3,25,155,1,1,30,1,25.6
3,26,203,1,1,32,1,25.4
3,26,194,1,3,32,1,28.3
3,24,432,1,5,41,1,34.8
3,25,259,1,1,33,1,21.8
3,24,235,1,3,32,1,25
3,25,159,1,3,30,1,30.5
3,23,204,1,2,30,1,30.6
3,23,142,1,2,27,1,23.4
3,26,177,1,2,32,1,28.6
3,19,258,1,2,27,1,16.2
3,24,208,1,1,31,1,26.8
3,23,179,1,3,29,1,34.3
3,26,257,1,2,35,1,24.6
3,23,469,1,5,39,1,24.1
3,22,203,1,1,29,1,27.8
3,22,205,1,4,29,1,30.3
3,26,509,1,1,44,1,26.2
3,23,208,1,1,30,1,30.6
3,25,221,1,1,32,1,23.9
3,25,158,1,2,30,1,28.6
3,22,218,1,3,30,1,25.6
